<http://www.worldkg.org/resource/266034080>	<Point_pois-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/6501259685>
<http://www.worldkg.org/resource/137716320>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/226041026>
<http://www.worldkg.org/resource/597937477>	<http://www.worldkg.org/schema/network>	network-NYC Subway
<http://www.worldkg.org/resource/2717543654>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.opengis.net/ont/sf#Point>
<http://www.worldkg.org/resource/3922485803>	<Point_pois-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/266170758>
<http://www.worldkg.org/resource/137716320>	<Polygon_buildings-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/266170751>
<http://www.worldkg.org/resource/266034080>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/569345544>
<http://www.worldkg.org/resource/266170536>	<http://www.worldkg.org/schema/breakfast>	breakfast-yes
<http://www.worldkg.org/resource/266149302>	<Point_pois-Adjacent-Point_pois>	<http://www.worldkg.org/resource/1751769863>
<http://www.worldkg.org/resource/682360554>	<Point_pois-Adjacent-Line_roads>	<http://www.worldkg.org/resource/6501259685>
<http://www.worldkg.org/resource/258646144>	<Point_pois-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/4316345593>
<http://www.worldkg.org/resource/266170756>	<http://www.worldkg.org/schema/startDate>	startDate-1990
<http://www.worldkg.org/resource/167922072>	<Line_roads-Adjacent-Line_roads>	<http://www.worldkg.org/resource/569345544>
<http://www.worldkg.org/resource/7653858222>	<Point_pois-Adjacent-Point_pois>	<http://www.worldkg.org/resource/266034056>
<http://www.worldkg.org/resource/657134182>	<Line_roads-Intersect-Polygon_landuse>	<http://www.worldkg.org/resource/5671182>
<http://www.worldkg.org/resource/2611782753>	<http://www.worldkg.org/schema/brandWikipedia>	brandWikipedia-en:Citibank
<http://www.worldkg.org/resource/86121620>	<Point_pois-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/3576199>
<http://www.worldkg.org/resource/167922072>	<Line_roads-Adjacent-Line_railway>	<http://www.worldkg.org/resource/46695596>
<http://www.worldkg.org/resource/569345543>	<Point_pois-Adjacent-Line_roads>	<http://www.worldkg.org/resource/2717293824>
<http://www.worldkg.org/resource/266170545>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.opengis.net/ont/sf#Point>
<http://www.worldkg.org/resource/3974095816>	<Point_pois-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/266170766>
<http://www.worldkg.org/resource/682360554>	<Line_roads-Adjacent-Line_roads>	<http://www.worldkg.org/resource/569345544>
<http://www.worldkg.org/resource/266149338>	<Line_railway-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/823979090>
